Make,Model,AverageCityMPG,AverageHighwayMPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
CHEVROLET,Tahoe,14,20,16,3,No,555
CHEVROLET,Tahoe,14,18,16,3,No,564
CHEVROLET,Tahoe,14,18,16,3,No,564
CHEVROLET,Trailblazer,29,31,30,6,No,296
CHEVROLET,Trailblazer,29,31,30,6,No,296
CHEVROLET,Trailblazer,26,30,28,6,No,320
CHEVROLET,Trailblazer,26,30,28,6,No,320
CHEVROLET,Trailblazer,29,33,31,6,No,290
CHEVROLET,Trailblazer,29,33,31,6,No,290
CHEVROLET,Traverse,18,27,21,4,No,417
CHEVROLET,Traverse,18,27,21,4,No,417
CHEVROLET,Traverse,17,25,20,4,No,448
CHEVROLET,Traverse,17,25,20,4,No,448
CHRYSLER,300,19,30,23,5,No,389
CHRYSLER,300,19,30,23,5,No,389
CHRYSLER,300,18,27,21,4,No,415
CHRYSLER,300,18,27,21,4,No,415
CHRYSLER,300,16,25,19,4,No,466
CHRYSLER,300,16,25,19,4,No,466
CHRYSLER,300,15,24,18,4,No,495
CHRYSLER,300,15,24,18,4,No,495
CHRYSLER,Pacifica,19,28,22,5,No,401
CHRYSLER,Pacifica,19,28,22,5,No,401
CHRYSLER,Pacifica,17,25,20,4,No,450
